date,BIAŁYSTOK,BYDGOSZCZ,CZĘSTOCHOWA,GDAŃSK,GDYNIA,GLIWICE,KATOWICE,KIELCE,KRAKÓW,LUBLIN,POZNAŃ,RADOM,RZESZÓW,SOSNOWIEC,SZCZECIN,TORUŃ,WARSZAWA,WROCŁAW,ŁÓDŹ
2022-10-09,53.0,145.0,119.0,293.0,145.0,76.0,229.0,82.0,791.0,228.0,401.0,59.0,144.0,125.0,308.0,46.0,2358.0,1095.0,359.0
2022-10-16,-227.0,-549.0,-213.0,-672.0,-332.0,-252.0,-624.0,-310.0,-1444.0,-813.0,-1462.0,-177.0,-863.0,-180.0,-535.0,-244.0,-7325.0,-2175.0,-674.0
2022-10-23,-525.0,-1348.0,-699.0,-2249.0,-1170.0,-733.0,-1860.0,-701.0,-4950.0,-1547.0,-4163.0,-375.0,-1387.0,-568.0,-1593.0,-760.0,-18770.0,-6142.0,-2106.0
2022-10-30,-275.0,-598.0,-413.0,-1508.0,-803.0,-483.0,-1018.0,-327.0,-2682.0,-1020.0,-2632.0,-246.0,-747.0,-397.0,-902.0,-321.0,-10473.0,-3791.0,-1123.0
2022-11-06,14.0,14.0,11.0,47.0,-8.0,14.0,34.0,9.0,133.0,31.0,-30.0,20.0,10.0,39.0,57.0,-3.0,436.0,206.0,58.0
2022-11-13,9.0,48.0,25.0,73.0,35.0,16.0,40.0,-9.0,159.0,62.0,-11.0,31.0,50.0,35.0,50.0,14.0,527.0,289.0,143.0
2022-11-20,-3.0,68.0,39.0,114.0,11.0,28.0,10.0,33.0,301.0,82.0,99.0,19.0,71.0,35.0,66.0,15.0,685.0,372.0,191.0
2022-11-27,-212.0,-513.0,-341.0,-1086.0,-502.0,-326.0,-927.0,-250.0,-2584.0,-790.0,-1736.0,-214.0,-702.0,-225.0,-596.0,-293.0,-9454.0,-2781.0,-783.0
2022-12-04,-5.0,31.0,16.0,18.0,35.0,-17.0,-9.0,2.0,42.0,-9.0,-12.0,1.0,-39.0,21.0,41.0,-9.0,-61.0,136.0,97.0
2022-12-11,13.0,29.5,36.5,102.0,51.0,24.5,78.5,28.5,326.5,86.0,79.5,21.0,13.5,25.0,72.0,11.0,812.5,307.5,122.0
2022-12-18,13.0,29.5,36.5,102.0,51.0,24.5,78.5,28.5,326.5,86.0,79.5,21.0,13.5,25.0,72.0,11.0,812.5,307.5,122.0
2022-12-25,23.0,38.0,4.0,89.0,65.0,28.0,25.0,22.0,203.0,41.0,99.0,20.0,20.0,17.0,46.0,1.0,476.0,240.0,101.0
2023-01-01,18.5,80.5,35.0,115.0,62.5,37.5,60.5,38.5,321.5,73.0,114.5,25.5,56.5,26.5,113.5,40.0,967.5,348.0,103.0
2023-01-08,18.5,80.5,35.0,115.0,62.5,37.5,60.5,38.5,321.5,73.0,114.5,25.5,56.5,26.5,113.5,40.0,967.5,348.0,103.0
2023-01-15,11.5,69.0,17.0,123.5,28.5,33.5,69.5,32.5,305.5,96.0,101.5,27.0,63.0,23.5,89.0,23.0,850.5,345.5,163.5
2023-01-22,11.5,69.0,17.0,123.5,28.5,33.5,69.5,32.5,305.5,96.0,101.5,27.0,63.0,23.5,89.0,23.0,850.5,345.5,163.5
2023-01-29,25.0,44.0,21.0,137.0,28.0,41.0,111.0,59.0,389.0,77.0,208.0,18.0,73.0,25.0,92.0,28.0,1250.0,368.0,147.0
2023-02-05,-2.0,-20.0,-10.0,-27.0,-18.0,-22.0,-34.0,-30.0,-101.0,-54.0,-110.0,2.0,-48.0,-41.0,-78.0,-30.0,-135.0,-133.0,-113.0
2023-02-12,30.0,33.0,52.0,107.0,54.0,31.0,81.0,69.0,356.0,138.0,182.0,17.0,73.0,23.0,77.0,10.0,688.0,372.0,132.0
2023-02-19,5.5,53.5,15.0,86.5,29.0,26.5,54.0,38.5,306.5,88.0,115.5,15.0,59.0,25.5,61.0,1.5,662.5,264.5,86.0
2023-02-26,5.5,53.5,15.0,86.5,29.0,26.5,54.0,38.5,306.5,88.0,115.5,15.0,59.0,25.5,61.0,1.5,662.5,264.5,86.0
2023-03-05,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-03-12,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-03-19,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-03-26,11.75,18.0,27.75,56.5,25.25,25.0,46.75,15.25,236.0,39.75,16.0,8.5,30.25,4.75,32.5,8.75,462.5,177.25,62.5
2023-04-02,8.0,11.0,15.0,59.0,21.0,11.0,26.0,10.0,160.0,42.0,42.0,14.0,32.0,15.0,14.0,-1.0,208.0,236.0,56.0
2023-04-09,10.0,59.0,13.0,83.0,19.0,13.0,31.0,4.0,176.0,27.0,41.0,-10.0,11.0,12.0,61.0,11.0,451.0,254.0,78.0
2023-04-16,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-04-23,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-04-30,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-05-07,-16.0,-35.0,-8.75,-16.75,-15.25,-7.5,-21.5,-9.25,-17.75,-26.5,-57.0,-6.25,31.0,-4.75,-22.75,-10.5,-45.75,13.0,-61.0
2023-05-14,-3.0,-37.0,-8.0,-5.0,-17.0,-2.0,-21.0,-5.5,-51.5,-4.5,-114.5,-9.0,10.0,-17.5,-31.5,-22.0,-299.0,29.0,-91.0
2023-05-21,-3.0,-37.0,-8.0,-5.0,-17.0,-2.0,-21.0,-5.5,-51.5,-4.5,-114.5,-9.0,10.0,-17.5,-31.5,-22.0,-299.0,29.0,-91.0
2023-05-28,0.0,-16.0,3.0,13.5,-6.0,11.0,35.0,4.0,35.5,-1.5,11.0,19.0,7.5,-7.5,4.5,-8.5,20.0,76.5,-1.0
2023-06-04,0.0,-16.0,3.0,13.5,-6.0,11.0,35.0,4.0,35.5,-1.5,11.0,19.0,7.5,-7.5,4.5,-8.5,20.0,76.5,-1.0
2023-06-11,-13.0,14.0,0.0,9.0,-18.0,6.0,3.0,-22.0,-7.0,-17.0,-33.0,-13.0,63.0,15.0,-20.0,-26.0,-47.0,67.0,-90.0
2023-06-18,5.0,-1.0,1.0,47.0,-6.0,-5.0,28.0,-3.0,90.0,45.0,-12.0,-7.0,32.0,8.0,50.0,-10.0,76.0,133.0,-16.0
2023-06-25,46.0,8.0,13.0,80.0,29.0,20.0,43.0,20.0,88.0,30.0,-16.0,0.0,159.0,-1.0,36.0,-8.0,324.0,106.0,-18.0
2023-07-02,-5.0,-40.0,11.0,38.0,5.0,10.0,19.0,9.0,14.0,6.0,-14.0,-5.0,44.0,15.0,12.0,13.0,92.0,135.0,22.0
2023-07-09,-78.0,-169.0,-122.0,-377.0,-210.0,-88.0,-211.0,-39.0,-764.0,-156.0,-633.0,-53.0,4.0,-79.0,-336.0,-70.0,-2544.0,-782.0,-251.0
2023-07-16,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-07-23,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-07-30,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-08-06,-11.0,-36.25,-19.5,-16.0,-33.0,-23.0,-28.75,-16.25,-43.5,4.5,-113.5,-8.0,18.25,2.75,-56.25,-22.5,-285.75,9.0,-67.5
2023-08-13,-48.0,-88.0,-32.0,-103.0,-65.0,-41.0,-50.0,-19.0,-206.0,-53.0,-256.0,-14.0,-63.0,-41.0,-102.0,-44.0,-611.0,2.0,-152.0
2023-08-20,12.5,-50.5,1.0,-45.0,-29.5,-33.5,-16.0,5.0,-35.5,3.5,-117.0,-0.5,-17.5,-6.5,-47.5,-35.5,-130.0,-14.5,-88.5
2023-08-27,12.5,-50.5,1.0,-45.0,-29.5,-33.5,-16.0,5.0,-35.5,3.5,-117.0,-0.5,-17.5,-6.5,-47.5,-35.5,-130.0,-14.5,-88.5
